window_start,window_end,total_count,positive_count,positive_rate,baseline_positive_rate,absolute_change,relative_change,label_drift_detected
2019-07-13,2019-09-11,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-07-14,2019-09-12,216,6,0.027777777777777776,0.02563580874872838,0.0021419690290493953,0.08355379188712522,False
2019-07-15,2019-09-13,221,6,0.027149321266968326,0.02563580874872838,0.0015135125182399456,0.0590390002154709,False
2019-07-18,2019-09-16,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-07-19,2019-09-17,211,6,0.02843601895734597,0.02563580874872838,0.0028002102086175894,0.10923042202663058,False
2019-07-20,2019-09-18,211,5,0.023696682464454975,0.02563580874872838,-0.0019391262842734062,-0.07564131497780788,False
2019-07-21,2019-09-19,216,5,0.023148148148148147,0.02563580874872838,-0.002487660600580234,-0.09703850676072898,False
2019-07-22,2019-09-20,221,5,0.02262443438914027,0.02563580874872838,-0.00301137435958811,-0.11746749982044097,False
2019-07-25,2019-09-23,211,5,0.023696682464454975,0.02563580874872838,-0.0019391262842734062,-0.07564131497780788,False
2019-07-26,2019-09-24,211,5,0.023696682464454975,0.02563580874872838,-0.0019391262842734062,-0.07564131497780788,False
2019-07-27,2019-09-25,211,5,0.023696682464454975,0.02563580874872838,-0.0019391262842734062,-0.07564131497780788,False
2019-07-28,2019-09-26,216,5,0.023148148148148147,0.02563580874872838,-0.002487660600580234,-0.09703850676072898,False
2019-07-29,2019-09-27,221,5,0.02262443438914027,0.02563580874872838,-0.00301137435958811,-0.11746749982044097,False
2019-08-01,2019-09-30,211,4,0.018957345971563982,0.02563580874872838,-0.006678462777164398,-0.26051305198224617,False
2019-08-02,2019-10-01,211,4,0.018957345971563982,0.02563580874872838,-0.006678462777164398,-0.26051305198224617,False
2019-08-03,2019-10-02,211,4,0.018957345971563982,0.02563580874872838,-0.006678462777164398,-0.26051305198224617,False
2019-08-04,2019-10-03,216,4,0.018518518518518517,0.02563580874872838,-0.007117290230209863,-0.2776308054085832,False
2019-08-05,2019-10-04,221,4,0.01809954751131222,0.02563580874872838,-0.007536261237416162,-0.2939739998563527,False
2019-08-08,2019-10-07,211,2,0.009478672985781991,0.02563580874872838,-0.01615713576294639,-0.6302565259911231,True
2019-08-09,2019-10-08,211,2,0.009478672985781991,0.02563580874872838,-0.01615713576294639,-0.6302565259911231,True
2019-08-10,2019-10-09,211,2,0.009478672985781991,0.02563580874872838,-0.01615713576294639,-0.6302565259911231,True
2019-08-11,2019-10-10,216,2,0.009259259259259259,0.02563580874872838,-0.016376549489469122,-0.6388154027042916,True
2019-08-12,2019-10-11,221,2,0.00904977375565611,0.02563580874872838,-0.01658603499307227,-0.6469869999281763,True
2019-08-15,2019-10-14,211,2,0.009478672985781991,0.02563580874872838,-0.01615713576294639,-0.6302565259911231,True
2019-08-16,2019-10-15,211,2,0.009478672985781991,0.02563580874872838,-0.01615713576294639,-0.6302565259911231,True
2019-08-17,2019-10-16,211,2,0.009478672985781991,0.02563580874872838,-0.01615713576294639,-0.6302565259911231,True
2019-08-18,2019-10-17,216,2,0.009259259259259259,0.02563580874872838,-0.016376549489469122,-0.6388154027042916,True
2019-08-19,2019-10-18,221,2,0.00904977375565611,0.02563580874872838,-0.01658603499307227,-0.6469869999281763,True
2019-08-22,2019-10-21,211,2,0.009478672985781991,0.02563580874872838,-0.01615713576294639,-0.6302565259911231,True
2019-08-23,2019-10-22,211,1,0.004739336492890996,0.02563580874872838,-0.020896472255837385,-0.8151282629955615,True
2019-08-24,2019-10-23,211,1,0.004739336492890996,0.02563580874872838,-0.020896472255837385,-0.8151282629955615,True
2019-08-25,2019-10-24,216,1,0.004629629629629629,0.02563580874872838,-0.02100617911909875,-0.8194077013521458,True
2019-08-26,2019-10-25,221,1,0.004524886877828055,0.02563580874872838,-0.021110921870900325,-0.8234934999640882,True
2019-08-29,2019-10-28,211,1,0.004739336492890996,0.02563580874872838,-0.020896472255837385,-0.8151282629955615,True
2019-08-30,2019-10-29,211,1,0.004739336492890996,0.02563580874872838,-0.020896472255837385,-0.8151282629955615,True
2019-08-31,2019-10-30,211,1,0.004739336492890996,0.02563580874872838,-0.020896472255837385,-0.8151282629955615,True
