detection_date,event_type,severity,variable,message
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-24 00:00:00 and 2020-10-23 00:00:00: positive rate=0.0498, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-27 00:00:00 and 2020-10-26 00:00:00: positive rate=0.0521, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-28 00:00:00 and 2020-10-27 00:00:00: positive rate=0.0476, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-29 00:00:00 and 2020-10-28 00:00:00: positive rate=0.0478, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-30 00:00:00 and 2020-10-29 00:00:00: positive rate=0.0469, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-08-31 00:00:00 and 2020-10-30 00:00:00: positive rate=0.0461, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-11-20 00:00:00 and 2021-01-19 00:00:00: positive rate=0.0393, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-11-21 00:00:00 and 2021-01-20 00:00:00: positive rate=0.0447, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-11-22 00:00:00 and 2021-01-21 00:00:00: positive rate=0.0435, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-11-23 00:00:00 and 2021-01-22 00:00:00: positive rate=0.0529, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-11-26 00:00:00 and 2021-01-25 00:00:00: positive rate=0.0663, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-11-27 00:00:00 and 2021-01-26 00:00:00: positive rate=0.0753, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-11-28 00:00:00 and 2021-01-27 00:00:00: positive rate=0.0860, baseline=0.0256"
